1,1,1
102368,伊利利乐包纯牛奶 250ml/盒,6907992100272
102392,蒙牛纯甄酸牛奶200g/盒,6923644278588
102485,可口可乐 600ml/瓶,6901939651605
102502,雪碧 600ml/瓶,6901939651209
102527,红牛维生素功能饮料 250ml/罐,6920202888883
102531,脉动维生素饮料(青柠),6902538004045
102541,农夫山泉饮用天然水 550ml/瓶,6921168509256
102544,怡宝饮用纯净水555ml/支,6901285991219
102568,名仁苏打水饮料375ml/瓶,6938309700526
102573,雀巢咖啡瓶装丝滑拿铁268毫升/瓶,6917878030623
102579,康师傅冰红茶 500ml/瓶,6920459905012
102586,农夫山泉茶π果味茶饮料蜜桃乌龙茶,6921168593569
102590,统一小茗同学冷泡.青柠红茶饮料 480,6925303754952
102612,美汁源果粒橙饮料 450ml/瓶,6956416200067
102627,农夫山泉水溶C100西柚汁445ml/瓶,6921168500970
102645,旺仔牛奶 245ml/罐,6920584471017
102652,娃哈哈AD钙奶饮品 220g*4瓶/组,6902083881085
102927,洽洽香瓜子 160克/袋,6924187820067
102931,洽洽焦糖瓜子108g/袋,6924187851160
102956,有友山椒味泡凤爪160克/袋,6944978701955
103005,格力高百醇注心饼干(红酒巧克力味),6901845041248
103014,奥利奥巧脆卷(香草口味) 55克/盒,6901668053510
103055,统一来一桶老坛酸菜牛肉面(香辣味),6925303773106
103109,雀巢咖啡1+2原味105克(7条*15克)/盒,6917878044767
103249,双汇王中王优级火腿肠3,6902890022558
103266,清风纯水柔湿巾,"6922266438417	"
103311,七度空间少女系列绢爽网面日用超薄,6903244371018
103321,ABC迷你亲柔立围日用棉柔卫生巾,6922731882516
103594,康师傅茉莉清茶 500ml/瓶,6920459998434
104370,香飘飘红豆奶茶 64g/杯,6938888888615
104709,出前一丁黑蒜油猪骨汤味油炸方便面(,4897878140305
104800,天喔主意韩话梅90克/袋,6925009918511
105011,农夫山泉茶π果味茶饮料柚子绿茶,6921168593576
106199,乐事大波浪薯片(辛辣味)70克/袋,6924743919808
106574,上好佳可可甜心膨化食品 70克/包,6926265334299
106575,上好佳芝士条 40克/包,6909409012048
106601,溜溜梅绿茶梅60克/袋,6923976181136
106652,达利好吃点香脆杏仁饼 108克/包,6911988009760
106680,康师傅经典红烧牛肉面,"6920152400777	"
107093,香飘飘雪糯椰浆奶茶 78克/杯,6938888887540
108185,百雀羚护手霜 80g/支,6927006113289
108280,得力中性笔,6921734966193
108668,伊利金典纯牛奶250ml,6907992507095
110682,卫龙大面筋,6935284412918
111394,农夫山泉100%NFC橙汁,6921168593804
111471,奥利奥草莓味夹心饼干,6901668005731
111902,溜溜梅西梅160克/袋,6952480069678
112843,喜之郎美好时光海苔 7.5g,6926475202357
112939,星巴克冰乐咖啡味咖啡281ml,6957354240016
113341,徐福记芒果酥 184g/包,6914782206502
113345,津威强化葡萄糖酸锌乳酸菌饮品,6901524137224
113349,供享味来黑加乳复合蛋白饮料,6957924000187
113351,雀巢咖啡醇品速溶咖啡 100克/瓶,6903473100229
113360,好时曲奇奶香白巧克力 146克/袋,6942836705978
113364,美乐诗香滑椰丝球220克/盒,6951103010004
113369,高露洁纤柔炭旋丝牙刷两支装,6920354817120
113371,黑人双重薄荷多效护理牙膏,4891338029810
113375,冈本快温贴5片/袋,4547691701008
113378,蜡笔小新上品牛轧糖蔓越莓味,6921101221399
113382,富光杯男士,6921899960685
113383,富光杯女士,6921899908830
113414,维达130抽抽取式纸超韧,6901236340288